,highest_market_value_in_eur,Born,Age,npxG+xAG,G+A,PrgC,xAG,Ast,PrgP,90s,Min,Starts,PrgR,Rk,G+A-PK,market_value_in_eur
19,0.03306474020561267,0.8800000000000097,0.125,0.08888888888888889,0.0,0.12195121951219512,0.00684931506849315,0.0,0.027303754266211604,0.24277456647398846,0.2429305912596401,0.17142857142857143,0.1115702479338843,0.00958126330731015,0.0,5500000
21,0.01639344262295082,0.6000000000000085,0.41666666666666674,0.11555555555555556,0.11538461538461539,0.1524390243902439,0.1232876712328767,0.18181818181818182,0.3993174061433447,0.5144508670520231,0.5134961439588688,0.42857142857142855,0.08677685950413223,0.0113555713271824,0.09826589595375725,3000000
22,0.01917199222006113,0.6800000000000068,0.29166666666666674,0.19111111111111112,0.038461538461538464,0.475609756097561,0.19863013698630136,0.09090909090909091,0.36177474402730375,0.6618497109826589,0.6613110539845758,0.6571428571428571,0.20041322314049587,0.01171043293115685,0.023121387283236997,3500000
23,0.05529313698249514,0.8400000000000034,0.16666666666666674,0.008888888888888889,0.0,0.006097560975609756,0.00684931506849315,0.0,0.006825938566552901,0.028901734104046242,0.029562982005141385,0.0,0.022727272727272728,0.0127750177430802,0.0,10000000
24,0.05529313698249514,0.8400000000000034,0.16666666666666674,0.09333333333333334,0.15384615384615385,0.2621951219512195,0.0821917808219178,0.18181818181818182,0.19112627986348124,0.44797687861271673,0.44890745501285345,0.4857142857142857,0.1115702479338843,0.01312987934705465,0.15028901734104047,10000000
26,0.05529313698249514,0.5200000000000102,0.5,0.09333333333333334,0.15384615384615385,0.1524390243902439,0.06164383561643835,0.09090909090909091,0.16382252559726962,0.41329479768786126,0.41323907455012854,0.45714285714285713,0.07644628099173553,0.01383960255500355,0.161849710982659,3000000
27,0.08863573214781885,0.5200000000000102,0.5,0.15555555555555556,0.038461538461538464,0.012195121951219513,0.06164383561643835,0.0,0.04436860068259386,0.24855491329479767,0.2474293059125964,0.2571428571428571,0.11363636363636365,0.01596877217885025,0.0,9000000
28,0.08863573214781885,0.5200000000000102,0.5,0.2711111111111111,0.2692307692307693,0.024390243902439025,0.11643835616438356,0.09090909090909091,0.09556313993174062,0.3583815028901734,0.3570051413881748,0.39999999999999997,0.16735537190082644,0.0163236337828247,0.32947976878612717,9000000
29,0.03306474020561267,0.8400000000000034,0.16666666666666674,0.022222222222222223,0.0,0.03658536585365854,0.02054794520547945,0.0,0.04436860068259386,0.09826589595375722,0.0986503856041131,0.11428571428571428,0.05371900826446281,0.0177430801987225,0.0,6000000
31,0.01639344262295082,0.7200000000000131,0.29166666666666674,0.0044444444444444444,0.0,0.012195121951219513,0.00684931506849315,0.0,0.030716723549488054,0.0722543352601156,0.07133676092544987,0.05714285714285714,0.012396694214876033,0.019872249822569202,0.0,3000000
32,0.11086412892470132,0.44000000000001194,0.5416666666666667,0.06666666666666667,0.038461538461538464,0.012195121951219513,0.0,0.0,0.027303754266211604,0.1069364161849711,0.10604113110539845,0.05714285714285714,0.03512396694214876,0.02022711142654365,0.15606936416184974,4000000
33,0.3053626007224229,0.44000000000001194,0.5416666666666667,0.3644444444444444,0.42307692307692313,0.4024390243902439,0.3904109589041096,0.5454545454545454,0.726962457337884,0.6965317919075145,0.6979434447300771,0.6857142857142857,0.16942148760330578,0.02093683463449255,0.23699421965317918,18000000
34,0.05529313698249514,0.3200000000000074,0.6666666666666667,0.05777777777777778,0.038461538461538464,0.024390243902439025,0.06164383561643835,0.0,0.023890784982935155,0.07514450867052024,0.07583547557840616,0.02857142857142857,0.0371900826446281,0.02164655784244145,0.21965317919075147,2000000
36,0.06640733537093638,0.8400000000000034,0.125,0.09333333333333334,0.19230769230769232,0.07926829268292683,0.03424657534246575,0.09090909090909091,0.07508532423208192,0.25722543352601157,0.25578406169665807,0.2857142857142857,0.05785123966942149,0.02235628105039035,0.323699421965318,12000000
37,0.05529313698249514,0.4000000000000057,0.625,0.11555555555555556,0.11538461538461539,0.1402439024390244,0.0821917808219178,0.0,0.310580204778157,0.5924855491329479,0.5935089974293059,0.5714285714285714,0.03925619834710744,0.0227111426543648,0.028901734104046246,2000000
38,0.02195054181717144,0.5600000000000023,0.45833333333333326,0.1511111111111111,0.038461538461538464,0.28658536585365857,0.1643835616438356,0.09090909090909091,0.04778156996587031,0.37572254335260113,0.3769280205655527,0.34285714285714286,0.2024793388429752,0.0234208658623137,0.04624277456647399,1200000
39,0.16643512086690748,0.6800000000000068,0.33333333333333326,0.14222222222222222,0.15384615384615385,0.12804878048780488,0.08904109589041095,0.18181818181818182,0.2764505119453925,0.5895953757225433,0.5899742930591259,0.6285714285714286,0.15082644628099173,0.0241305890702626,0.11560693641618498,10000000
41,0.008057793831619895,0.7200000000000131,0.25,0.04,0.0,0.06097560975609756,0.0410958904109589,0.0,0.13993174061433447,0.35260115606936415,0.3518637532133676,0.3142857142857143,0.022727272727272728,0.02519517388218595,0.0,1500000
43,0.5554320644623507,0.6000000000000085,0.41666666666666674,0.0,0.0,0.0,0.0,0.0,0.0034129692832764505,0.011560693641618498,0.012532133676092544,0.0,0.002066115702479339,0.0269694819020582,0.0,11000000
45,0.19422061683801056,0.5200000000000102,0.5,0.36,0.46153846153846156,0.39634146341463417,0.1232876712328767,0.09090909090909091,0.3720136518771331,0.6907514450867052,0.6915167095115681,0.7142857142857143,0.45867768595041325,0.0276792051100071,0.28901734104046245,35000000
47,0.002500694637399278,0.8800000000000097,0.08333333333333337,0.16034408602150538,0.0,0.14269767899291896,0.10291648254529384,0.0,0.16149399977980844,0.0028901734104046246,0.0028920308483290484,0.0,0.1189682751266329,0.0290986515259049,0.0,400000
48,0.2775771047513198,0.7600000000000051,0.25,0.3066666666666667,0.3076923076923077,0.1951219512195122,0.10273972602739725,0.0,0.11604095563139932,0.37283236994219654,0.3727506426735218,0.2857142857142857,0.16735537190082644,0.0298083747338538,0.3121387283236995,50000000
50,0.03862183939983329,0.6000000000000085,0.375,0.04888888888888889,0.11538461538461539,0.06707317073170732,0.02054794520547945,0.09090909090909091,0.034129692832764506,0.08670520231213873,0.08547557840616965,0.08571428571428572,0.01859504132231405,0.0312278211497516,0.5838150289017342,4000000
53,0.12197832731314255,0.6000000000000085,0.375,0.08444444444444445,0.19230769230769232,0.15853658536585366,0.0684931506849315,0.09090909090909091,0.17747440273037543,0.28034682080924855,0.2814910025706941,0.22857142857142856,0.05371900826446281,0.034066713981547196,0.23699421965317918,6000000
54,0.1386496248958044,0.6000000000000085,0.375,0.07111111111111111,0.038461538461538464,0.21951219512195122,0.07534246575342465,0.09090909090909091,0.5972696245733788,0.615606936416185,0.6156812339331619,0.6571428571428571,0.049586776859504134,0.03477643718949609,0.028901734104046246,25000000
55,0.01917199222006113,0.8400000000000034,0.125,0.07555555555555556,0.0,0.10365853658536586,0.0547945205479452,0.0,0.04778156996587031,0.0722543352601156,0.07165809768637531,0.02857142857142857,0.04338842975206612,0.03584102200141945,0.0,3500000
56,0.24979160878021675,0.480000000000004,0.5416666666666667,0.47555555555555556,0.42307692307692313,0.48170731707317077,0.3219178082191781,0.18181818181818182,0.3720136518771331,0.8959537572254335,0.8968508997429305,0.9428571428571428,0.4359504132231405,0.03619588360539389,0.2023121387283237,15000000
