,Rk,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,market_value_in_eur,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW
349,0.28753292361720806,0.5833333333333333,0.6470588235294118,0.34285714285714286,0.3332262210796915,0.33236994219653176,0.10526315789473684,0.09090909090909091,0.11538461538461539,0.11764705882352941,0.0,0.0,0.16666666666666666,0.0,0.14948453608247422,0.17901234567901236,0.03424657534246575,0.1511111111111111,0.06097560975609756,0.034129692832764506,0.14049586776859505,0.12318840579710148,0.05202312138728324,0.15028901734104047,0.12318840579710148,0.15028901734104047,0.17857142857142858,0.024539877300613498,0.17791411042944785,0.17857142857142858,0.17791411042944785,2000000.0,0.06640733537093638,0.0,1.0,0.0,0.0
351,0.2884108867427568,0.5833333333333333,0.7647058823529411,0.6857142857142857,0.5446658097686374,0.5433526011560694,0.21052631578947367,0.09090909090909091,0.19230769230769232,0.23529411764705882,0.0,0.0,0.41666666666666663,0.0,0.13402061855670105,0.16049382716049385,0.1095890410958904,0.19111111111111112,0.20121951219512196,0.32081911262798635,0.16735537190082644,0.15217391304347827,0.028901734104046246,0.15606936416184974,0.15217391304347827,0.15606936416184974,0.1,0.05521472392638037,0.14110429447852763,0.1,0.14110429447852763,1800000.0,0.02195054181717144,0.0,0.0,0.0,1.0
353,0.2901668129938542,0.5833333333333333,0.20588235294117646,0.05714285714285714,0.09897172236503855,0.09826589595375722,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.010309278350515465,0.01234567901234568,0.00684931506849315,0.008888888888888889,0.006097560975609756,0.023890784982935155,0.006198347107438017,0.0,0.0,0.0,0.0,0.0,0.028571428571428574,0.012269938650306749,0.03680981595092025,0.028571428571428574,0.03680981595092025,3000000.0,0.14976382328424565,0.0,0.0,1.0,0.0
354,0.2906057945566286,0.5833333333333333,0.14705882352941174,0.11428571428571428,0.0954370179948586,0.0953757225433526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005154639175257733,0.00617283950617284,0.0,0.0044444444444444444,0.0,0.04778156996587031,0.006198347107438017,0.0,0.0,0.0,0.0,0.0,0.02142857142857143,0.006134969325153374,0.024539877300613498,0.02142857142857143,0.024539877300613498,3000000.0,0.14976382328424565,0.0,0.0,0.0,1.0
355,0.2919227392449517,0.5833333333333333,0.38235294117647056,0.2571428571428571,0.2506426735218509,0.25144508670520227,0.3157894736842105,0.09090909090909091,0.2692307692307693,0.1764705882352941,0.75,0.6000000000000001,0.0,0.0,0.2783505154639176,0.1851851851851852,0.0958904109589041,0.19555555555555557,0.042682926829268296,0.06484641638225257,0.09917355371900827,0.5,0.06936416184971099,0.4682080924855492,0.2536231884057971,0.26589595375722547,0.44285714285714284,0.09815950920245399,0.4785276073619632,0.25,0.3128834355828221,10000000.0,0.08863573214781885,1.0,0.0,0.0,0.0
356,0.29236172080772604,0.5833333333333333,0.29411764705882354,0.14285714285714285,0.14910025706940874,0.15028901734104047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1288659793814433,0.154320987654321,0.04794520547945205,0.14666666666666667,0.012195121951219513,0.030716723549488054,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.35,0.08588957055214724,0.39263803680981596,0.35,0.39263803680981596,10000000.0,0.08863573214781885,1.0,0.0,0.0,0.0
358,0.29323968393327476,0.375,0.6176470588235294,0.22857142857142856,0.2769922879177378,0.2774566473988439,0.15789473684210525,0.0,0.11538461538461539,0.1764705882352941,0.0,0.0,0.08333333333333333,0.0,0.1958762886597938,0.23456790123456792,0.02054794520547945,0.1822222222222222,0.06097560975609756,0.07508532423208192,0.13636363636363635,0.22463768115942032,0.0,0.17919075144508673,0.22463768115942032,0.17919075144508673,0.28571428571428575,0.018404907975460124,0.26380368098159507,0.28571428571428575,0.26380368098159507,15000000.0,0.2775771047513198,0.0,0.0,1.0,0.0
359,0.29367866549604915,0.33333333333333326,0.5588235294117647,0.39999999999999997,0.37146529562982006,0.37283236994219654,0.2631578947368421,0.4545454545454546,0.38461538461538464,0.29411764705882354,0.0,0.0,0.3333333333333333,0.0,0.1597938144329897,0.19135802469135804,0.2534246575342466,0.3066666666666667,0.6097560975609756,0.21843003412969283,0.3285123966942149,0.28260869565217395,0.22543352601156072,0.45086705202312144,0.28260869565217395,0.45086705202312144,0.17142857142857143,0.17791411042944785,0.32515337423312884,0.17142857142857143,0.32515337423312884,60000000.0,0.666574048346763,0.0,0.0,1.0,0.0
360,0.2941176470588235,0.375,0.14705882352941174,0.0,0.03502570694087403,0.03468208092485549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515465,0.01234567901234568,0.02054794520547945,0.022222222222222223,0.03048780487804878,0.013651877133105802,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.15337423312883436,0.25153374233128833,0.10714285714285714,0.25153374233128833,2500000.0,0.015282022784106697,0.0,0.0,1.0,0.0
361,0.29455662862159787,0.375,0.20588235294117646,0.11428571428571428,0.0947943444730077,0.0953757225433526,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.010309278350515465,0.01234567901234568,0.04794520547945205,0.035555555555555556,0.054878048780487805,0.020477815699658702,0.047520661157024795,0.0,0.0,0.0,0.0,0.0,0.03571428571428572,0.1226993865030675,0.15337423312883436,0.03571428571428572,0.15337423312883436,2500000.0,0.015282022784106697,0.0,0.0,1.0,0.0
362,0.2954345917471466,0.5,0.6470588235294118,0.42857142857142855,0.43798200514138813,0.43930635838150284,0.15789473684210525,0.2727272727272727,0.23076923076923078,0.1764705882352941,0.0,0.0,0.25,0.0,0.10309278350515465,0.1234567901234568,0.1506849315068493,0.18666666666666668,0.12804878048780488,0.26621160409556316,0.04132231404958678,0.1449275362318841,0.11560693641618498,0.23121387283236997,0.1449275362318841,0.23121387283236997,0.09285714285714286,0.08588957055214724,0.17177914110429449,0.09285714285714286,0.17177914110429449,9000000.0,0.17754931925534873,0.0,0.0,1.0,0.0
