,highest_market_value_in_eur,Age,npxG+xAG,PrgC,xAG,Ast,G+A,90s,Min,PrgP,Starts,MP,PrgR,Rk,Pos_MF,market_value_in_eur
970,0.11086412892470132,0.5,0.0,0.0,0.0,0.0,0.0,0.005780346820809249,0.004498714652956298,0.0,0.0,0.029411764705882353,0.0,0.791044776119403,1.0,2500000.0
971,0.03306474020561267,0.33333333333333326,0.28444444444444444,0.3597560975609756,0.14383561643835616,0.0,0.15384615384615385,0.523121387283237,0.5221722365038559,0.09215017064846416,0.4857142857142857,0.7058823529411764,0.28512396694214875,0.7919227392449517,0.0,5500000.0
972,0.03862183939983329,0.41666666666666674,0.04888888888888889,0.042682926829268296,0.00684931506849315,0.0,0.11538461538461539,0.13872832369942195,0.13753213367609254,0.023890784982935155,0.08571428571428572,0.5,0.05991735537190083,0.7923617208077262,1.0,1500000.0
973,0.16643512086690748,0.04166666666666674,0.33333333333333337,0.042682926829268296,0.0821917808219178,0.2727272727272727,0.38461538461538464,0.3468208092485549,0.3480077120822622,0.03754266211604096,0.3142857142857143,0.676470588235294,0.11363636363636365,0.7928007023705005,0.0,30000000.0
974,0.05529313698249514,0.45833333333333326,0.24444444444444446,0.09146341463414634,0.03424657534246575,0.0,0.19230769230769232,0.4190751445086705,0.41805912596401024,0.08873720136518772,0.45714285714285713,0.5294117647058824,0.13016528925619836,0.7932396839332748,1.0,6000000.0
975,0.41650458460683526,0.29166666666666674,0.22222222222222224,0.29268292682926833,0.2054794520547945,0.18181818181818182,0.19230769230769232,0.5289017341040463,0.5292416452442159,0.33447098976109213,0.5714285714285714,0.676470588235294,0.23553719008264462,0.7936786654960492,1.0,65000000.0
976,0.004167824395665463,0.45833333333333326,0.12000000000000001,0.06097560975609756,0.0547945205479452,0.0,0.038461538461538464,0.2254335260115607,0.22397172236503857,0.034129692832764506,0.19999999999999998,0.47058823529411764,0.09297520661157024,0.7945566286215979,1.0,550000.0
977,0.16643512086690748,0.7916666666666667,0.17333333333333334,0.1402439024390244,0.1780821917808219,0.18181818181818182,0.07692307692307693,0.5722543352601156,0.5716580976863752,0.45051194539249145,0.5714285714285714,0.8823529411764706,0.06611570247933884,0.7949956101843723,1.0,2000000.0
978,0.008057793831619895,0.7916666666666667,0.17333333333333334,0.1402439024390244,0.1780821917808219,0.18181818181818182,0.07692307692307693,0.5722543352601156,0.5716580976863752,0.45051194539249145,0.5714285714285714,0.8823529411764706,0.06611570247933884,0.7949956101843723,1.0,1500000.0
979,0.027507641011392057,0.375,0.10222222222222221,0.20121951219512196,0.06164383561643835,0.18181818181818182,0.07692307692307693,0.6560693641618497,0.6552056555269922,0.49146757679180886,0.6571428571428571,0.8823529411764706,0.08264462809917356,0.795873573309921,1.0,4500000.0
982,0.41650458460683526,0.6666666666666667,0.5822222222222222,0.20121951219512196,0.43150684931506844,0.6363636363636364,0.5,0.45664739884393063,0.45726221079691515,0.2764505119453925,0.5142857142857142,0.676470588235294,0.34297520661157027,0.7985074626865672,0.0,18000000.0
983,0.027507641011392057,0.375,0.5155555555555555,0.20731707317073172,0.18493150684931506,0.2727272727272727,0.38461538461538464,0.7832369942196532,0.7840616966580976,0.2832764505119454,0.7999999999999999,0.8823529411764706,0.16735537190082644,0.7993854258121159,1.0,5000000.0
984,0.12197832731314255,0.5416666666666667,0.2711111111111111,0.2621951219512195,0.2328767123287671,0.2727272727272727,0.11538461538461539,0.45664739884393063,0.45726221079691515,0.4573378839590444,0.45714285714285713,0.7058823529411764,0.19008264462809918,0.7998244073748902,1.0,10000000.0
986,0.0005557099194220616,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0028901734104046246,0.0035347043701799484,0.0034129692832764505,0.0,0.029411764705882353,0.002066115702479339,0.8015803336259878,0.0,50000.0
987,0.09419283134203947,0.5,0.4222222222222222,0.1524390243902439,0.14383561643835616,0.2727272727272727,0.6153846153846154,0.8439306358381502,0.8428663239074549,0.17747440273037543,0.8571428571428571,0.8823529411764706,0.2830578512396694,0.8028972783143108,0.0,15000000.0
988,0.05529313698249514,0.45833333333333326,0.2711111111111111,0.3902439024390244,0.1917808219178082,0.18181818181818182,0.23076923076923078,0.3901734104046243,0.39010282776349614,0.1945392491467577,0.39999999999999997,0.9705882352941176,0.2913223140495868,0.8033362598770852,0.0,10000000.0
989,0.1386496248958044,0.125,0.16,0.4268292682926829,0.1232876712328767,0.18181818181818182,0.07692307692307693,0.6676300578034683,0.6664524421593829,0.310580204778157,0.7428571428571429,0.8529411764705882,0.2066115702479339,0.8042142230026339,0.0,22000000.0
990,0.6110030564045569,0.125,0.5822222222222222,0.475609756097561,0.3972602739726027,0.8181818181818182,0.7692307692307693,0.6473988439306357,0.6481362467866323,0.36177474402730375,0.6857142857142857,0.8529411764705882,0.37396694214876036,0.8046532045654082,1.0,110000000.0
995,0.002500694637399278,0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8094820017559263,1.0,500000.0
996,0.008057793831619895,0.45833333333333326,0.008888888888888889,0.0,0.0,0.0,0.0,0.04624277456647399,0.047236503856041126,0.0,0.02857142857142857,0.11764705882352941,0.01859504132231405,0.8107989464442493,0.0,1200000.0
999,0.14976382328424565,0.8333333333333333,0.16444444444444445,0.024390243902439025,0.136986301369863,0.18181818181818182,0.11538461538461539,0.23699421965317916,0.23618251928020564,0.05460750853242321,0.2571428571428571,0.5588235294117647,0.04132231404958678,0.815188762071993,1.0,1200000.0
1000,0.027507641011392057,0.6666666666666667,0.044444444444444446,0.006097560975609756,0.03424657534246575,0.09090909090909091,0.07692307692307693,0.1445086705202312,0.14460154241645246,0.05460750853242321,0.08571428571428572,0.47058823529411764,0.04338842975206612,0.8160667251975418,0.0,600000.0
1001,0.21089191442067243,0.25,0.14222222222222222,0.21951219512195122,0.14383561643835616,0.0,0.0,0.29479768786127164,0.294987146529563,0.08191126279863481,0.34285714285714286,0.47058823529411764,0.21694214876033058,0.8169446883230904,0.0,32000000.0
1002,0.21089191442067243,0.375,0.17333333333333334,0.12804878048780488,0.14383561643835616,0.0,0.038461538461538464,0.40173410404624277,0.4010282776349614,0.23208191126279865,0.39999999999999997,0.5882352941176471,0.10330578512396695,0.8182616330114135,1.0,15000000.0
1003,0.2775771047513198,0.375,0.18666666666666668,0.15853658536585366,0.0958904109589041,0.09090909090909091,0.2692307692307693,0.8988439306358382,0.8984575835475578,0.6928327645051194,0.8857142857142857,0.9117647058823529,0.0371900826446281,0.818700614574188,0.0,40000000.0
1004,1.0,0.5833333333333333,0.68,0.4207317073170732,0.6027397260273972,1.0,0.9230769230769231,0.49710982658959535,0.49614395886889456,0.5494880546075085,0.5142857142857142,0.5588235294117647,0.26239669421487605,0.8191395961369623,0.0,70000000.0
1005,0.01917199222006113,0.20833333333333337,0.16444444444444445,0.054878048780487805,0.02054794520547945,0.0,0.15384615384615385,0.25144508670520227,0.2506426735218509,0.020477815699658702,0.19999999999999998,0.47058823529411764,0.08057851239669422,0.8195785776997366,1.0,3500000.0
1006,0.0075020839121978326,0.20833333333333337,0.08,0.07926829268292683,0.03424657534246575,0.09090909090909091,0.15384615384615385,0.13005780346820808,0.1294987146529563,0.03754266211604096,0.14285714285714285,0.2647058823529412,0.05371900826446281,0.820017559262511,1.0,1300000.0
1007,0.04973603778827452,0.29166666666666674,0.15555555555555556,0.06097560975609756,0.03424657534246575,0.0,0.07692307692307693,0.2976878612716763,0.2969151670951157,0.07167235494880546,0.34285714285714286,0.3529411764705882,0.09504132231404959,0.8208955223880597,0.0,3500000.0
1008,0.010836343428730204,0.20833333333333337,0.008888888888888889,0.024390243902439025,0.0,0.0,0.038461538461538464,0.17341040462427745,0.1738431876606684,0.06143344709897611,0.17142857142857143,0.2647058823529412,0.002066115702479339,0.8226514486391572,0.0,2000000.0
1009,0.05529313698249514,0.625,0.14666666666666667,0.006097560975609756,0.0273972602739726,0.09090909090909091,0.19230769230769232,0.29190751445086704,0.2920951156812339,0.06143344709897611,0.2857142857142857,0.38235294117647056,0.10537190082644629,0.8230904302019315,0.0,2200000.0
1010,0.05529313698249514,0.625,0.08444444444444445,0.054878048780487805,0.0136986301369863,0.0,0.038461538461538464,0.2254335260115607,0.22654241645244216,0.030716723549488054,0.2857142857142857,0.38235294117647056,0.047520661157024795,0.823529411764706,0.0,2200000.0
1012,0.002500694637399278,0.20833333333333337,0.0,0.006097560975609756,0.0,0.0,0.0,0.005780346820809249,0.006748071979434447,0.0,0.0,0.0,0.008264462809917356,0.8257243195785777,1.0,500000.0
1013,0.1386496248958044,0.25,0.38666666666666666,0.1951219512195122,0.0821917808219178,0.09090909090909091,0.19230769230769232,0.33236994219653176,0.3325835475578406,0.051194539249146756,0.2571428571428571,0.7647058823529411,0.15495867768595042,0.8261633011413521,0.0,25000000.0
1014,0.44429008057793834,0.33333333333333326,0.528888888888889,0.22560975609756098,0.1780821917808219,0.09090909090909091,0.5384615384615385,0.523121387283237,0.5224935732647814,0.22184300341296928,0.4857142857142857,0.6176470588235294,0.30165289256198347,0.8266022827041265,1.0,80000000.0
1015,0.044178938594053904,0.20833333333333337,0.23555555555555555,0.11585365853658537,0.1917808219178082,0.36363636363636365,0.2692307692307693,0.5173410404624277,0.5176735218508997,0.24232081911262798,0.45714285714285713,0.7647058823529411,0.09297520661157024,0.8270412642669008,0.0,8000000.0
1016,0.09974993053626008,0.29166666666666674,0.15555555555555556,0.09146341463414634,0.03424657534246575,0.0,0.15384615384615385,0.2890173410404624,0.288560411311054,0.06143344709897611,0.2857142857142857,0.4411764705882353,0.14462809917355374,0.8274802458296752,0.0,14000000.0
1018,0.027507641011392057,0.29166666666666674,0.32,0.5060975609756098,0.1506849315068493,0.2727272727272727,0.38461538461538464,0.6560693641618497,0.6561696658097685,0.19112627986348124,0.7428571428571429,0.9117647058823529,0.2975206611570248,0.8283582089552239,1.0,5000000.0
1019,0.003612114476243401,0.8333333333333333,0.16444444444444445,0.1951219512195122,0.1506849315068493,0.09090909090909091,0.07692307692307693,0.476878612716763,0.4775064267352185,0.12286689419795221,0.39999999999999997,0.8235294117647058,0.2747933884297521,0.8287971905179983,0.0,250000.0
1022,0.24979160878021675,0.29166666666666674,0.2,0.31097560975609756,0.1506849315068493,0.09090909090909091,0.07692307692307693,0.7427745664739884,0.7422879177377891,0.2696245733788396,0.7999999999999999,0.8823529411764706,0.25,0.83099209833187,0.0,45000000.0
1023,0.3887190886357321,0.25,0.7777777777777778,0.3719512195121951,0.3698630136986301,0.2727272727272727,0.46153846153846156,0.5433526011560694,0.544344473007712,0.09897610921501707,0.5428571428571428,0.8235294117647058,0.37396694214876036,0.8314310798946445,0.0,70000000.0
1025,0.03584328980272298,0.375,0.44000000000000006,0.24390243902439024,0.14383561643835616,0.18181818181818182,0.576923076923077,0.7369942196531791,0.736503856041131,0.15358361774744028,0.7142857142857143,0.7647058823529411,0.38842975206611574,0.834503950834065,0.0,6500000.0
1027,0.044178938594053904,0.29166666666666674,0.022222222222222223,0.07926829268292683,0.0136986301369863,0.0,0.038461538461538464,0.18786127167630057,0.18733933161953728,0.07167235494880546,0.17142857142857143,0.3529411764705882,0.006198347107438017,0.8353819139596137,0.0,8000000.0
1028,0.05529313698249514,0.5833333333333333,0.022222222222222223,0.0,0.0136986301369863,0.09090909090909091,0.038461538461538464,0.25144508670520227,0.25257069408740357,0.12286689419795221,0.2857142857142857,0.4411764705882353,0.006198347107438017,0.8358208955223881,0.0,900000.0
1029,0.02195054181717144,0.25,0.09777777777777778,0.24390243902439024,0.11643835616438356,0.09090909090909091,0.07692307692307693,0.3583815028901734,0.3592544987146529,0.07508532423208192,0.42857142857142855,0.5,0.16735537190082644,0.8366988586479368,1.0,2000000.0
1030,0.2775771047513198,0.45833333333333326,0.1511111111111111,0.18292682926829268,0.08904109589041095,0.0,0.15384615384615385,0.3439306358381503,0.34511568123393316,0.11945392491467577,0.2857142857142857,0.5,0.2272727272727273,0.8371378402107111,0.0,12000000.0
1031,0.027507641011392057,0.04166666666666674,0.19555555555555557,0.4085365853658537,0.1232876712328767,0.18181818181818182,0.23076923076923078,0.5404624277456647,0.540809768637532,0.14675767918088736,0.5142857142857142,0.8823529411764706,0.26239669421487605,0.8380158033362599,0.0,5000000.0
1032,0.060850236176715755,0.33333333333333326,0.24000000000000002,0.31097560975609756,0.07534246575342465,0.0,0.2692307692307693,0.6560693641618497,0.6555269922879177,0.21843003412969283,0.6571428571428571,0.8529411764705882,0.2644628099173554,0.8410886742756805,1.0,4300000.0
1033,0.013614893025840513,0.20833333333333337,0.02666666666666667,0.03658536585365854,0.02054794520547945,0.0,0.0,0.11849710982658958,0.11921593830334189,0.051194539249146756,0.11428571428571428,0.2647058823529412,0.02066115702479339,0.8428446005267779,1.0,1000000.0
1034,0.006390664073353709,0.20833333333333337,0.0044444444444444444,0.012195121951219513,0.00684931506849315,0.0,0.0,0.15317919075144507,0.1532776349614396,0.051194539249146756,0.17142857142857143,0.38235294117647056,0.022727272727272728,0.8432835820895522,0.0,1200000.0
