,Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,market_value_in_eur,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW
729,1436.0,1993.0,7.0,1.0,150.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,8000000.0,20000000.0,0.0,0.0,0.0,1.0
730,1439.0,1995.0,14.0,11.0,1030.0,11.4,7.0,2.0,9.0,6.0,1.0,1.0,4.0,0.0,5.7,4.9,2.0,6.8,19.0,11.0,57.0,0.61,0.17,0.79,0.52,0.7,0.5,0.17,0.67,0.43,0.6,8000000.0,11500000.0,1.0,0.0,0.0,0.0
731,1442.0,1997.0,11.0,5.0,463.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.4,1.7,5.0,12.0,29.0,0.0,0.0,0.0,0.0,0.0,0.24,0.09,0.32,0.24,0.32,4000000.0,15000000.0,0.0,1.0,0.0,0.0
732,1443.0,1992.0,26.0,17.0,1573.0,17.5,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,6.0,6.0,1.7,7.7,36.0,19.0,105.0,0.06,0.11,0.17,0.06,0.17,0.35,0.09,0.44,0.35,0.44,2000000.0,8000000.0,0.0,1.0,0.0,0.0
734,1447.0,1989.0,17.0,6.0,663.0,7.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.7,0.7,0.2,0.9,7.0,26.0,11.0,0.0,0.14,0.14,0.0,0.14,0.1,0.02,0.12,0.1,0.12,600000.0,5000000.0,0.0,1.0,0.0,0.0
736,1450.0,2004.0,26.0,23.0,1986.0,22.1,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.4,0.4,0.6,1.0,20.0,97.0,14.0,0.05,0.0,0.05,0.05,0.05,0.02,0.03,0.05,0.02,0.05,25000000.0,25000000.0,1.0,0.0,0.0,0.0
737,1451.0,2002.0,14.0,3.0,411.0,4.6,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.6,1.6,0.3,1.9,14.0,16.0,41.0,0.44,0.0,0.44,0.44,0.44,0.35,0.06,0.41,0.35,0.41,5000000.0,7000000.0,0.0,0.0,1.0,0.0
738,1453.0,2004.0,1.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.63,0.63,0.63,3000000.0,3000000.0,0.0,1.0,0.0,0.0
739,1458.0,1998.0,28.0,20.0,1772.0,19.7,9.0,3.0,12.0,9.0,0.0,0.0,1.0,0.0,7.6,7.6,1.6,9.2,31.0,24.0,117.0,0.46,0.15,0.61,0.46,0.61,0.39,0.08,0.47,0.39,0.47,3000000.0,3000000.0,1.0,0.0,0.0,0.0
740,1459.0,2000.0,31.0,31.0,2676.0,29.7,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,3.5,3.5,6.4,9.8,82.0,192.0,82.0,0.17,0.2,0.37,0.17,0.37,0.12,0.21,0.33,0.12,0.33,15000000.0,15000000.0,1.0,0.0,0.0,0.0
742,1468.0,1993.0,28.0,28.0,2407.0,26.7,5.0,1.0,6.0,5.0,0.0,0.0,9.0,1.0,1.8,1.8,1.4,3.2,28.0,157.0,39.0,0.19,0.04,0.22,0.19,0.22,0.07,0.05,0.12,0.07,0.12,4000000.0,10000000.0,0.0,1.0,0.0,0.0
743,1473.0,1995.0,25.0,16.0,1193.0,13.3,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,1.9,2.9,36.0,78.0,78.0,0.08,0.23,0.3,0.08,0.3,0.07,0.15,0.22,0.07,0.22,25000000.0,70000000.0,0.0,0.0,1.0,0.0
744,1474.0,2003.0,10.0,2.0,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3,0.3,4.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,700000.0,700000.0,1.0,0.0,0.0,0.0
745,1476.0,1993.0,16.0,15.0,1118.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,0.3,0.3,0.3,0.6,4.0,38.0,8.0,0.0,0.08,0.08,0.0,0.08,0.02,0.03,0.05,0.02,0.05,10000000.0,15000000.0,1.0,0.0,0.0,0.0
746,1478.0,2002.0,11.0,0.0,123.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,1.2,1.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.76,0.85,0.09,0.85,2000000.0,2000000.0,0.0,0.0,0.0,1.0
747,1483.0,1989.0,26.0,13.0,1221.0,13.6,6.0,1.0,7.0,5.0,1.0,2.0,0.0,1.0,3.8,2.2,1.1,3.3,20.0,20.0,70.0,0.44,0.07,0.52,0.37,0.44,0.28,0.08,0.36,0.16,0.24,2000000.0,5000000.0,0.0,0.0,1.0,0.0
748,1484.0,2002.0,29.0,21.0,1890.0,21.0,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,0.9,1.7,20.0,123.0,43.0,0.05,0.1,0.14,0.05,0.14,0.04,0.05,0.08,0.04,0.08,10000000.0,10000000.0,1.0,0.0,0.0,0.0
749,1486.0,1994.0,34.0,34.0,2982.0,33.1,5.0,0.0,5.0,5.0,0.0,0.0,6.0,0.0,2.5,2.5,2.2,4.7,20.0,132.0,26.0,0.15,0.0,0.15,0.15,0.15,0.08,0.07,0.14,0.08,0.14,15000000.0,25000000.0,0.0,0.0,1.0,0.0
750,1488.0,2000.0,24.0,13.0,1090.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.9,0.9,0.8,1.8,12.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.08,0.07,0.15,0.08,0.15,1200000.0,1800000.0,0.0,0.0,1.0,0.0
751,1489.0,1999.0,3.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.56,0.46,1.02,0.56,1.02,100000.0,100000.0,0.0,0.0,0.0,1.0
752,1491.0,2001.0,14.0,0.0,238.0,2.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6,0.2,0.8,6.0,4.0,22.0,0.38,0.38,0.76,0.38,0.76,0.23,0.08,0.31,0.23,0.31,3500000.0,4500000.0,0.0,0.0,0.0,1.0
753,1494.0,2001.0,10.0,3.0,321.0,3.6,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.2,1.7,8.0,6.0,39.0,0.0,0.28,0.28,0.0,0.28,0.14,0.35,0.49,0.14,0.49,15000000.0,17000000.0,0.0,1.0,0.0,0.0
756,1501.0,1995.0,30.0,22.0,1860.0,20.7,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.9,0.9,0.8,1.7,27.0,70.0,32.0,0.05,0.0,0.05,0.05,0.05,0.04,0.04,0.08,0.04,0.08,3500000.0,15000000.0,0.0,0.0,0.0,1.0
757,1502.0,1992.0,17.0,12.0,923.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.7,1.7,11.0,33.0,38.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.17,0.1,0.17,12000000.0,40000000.0,1.0,0.0,0.0,0.0
759,1506.0,1997.0,25.0,18.0,1597.0,17.7,4.0,1.0,5.0,4.0,0.0,0.0,1.0,0.0,2.5,2.5,1.9,4.4,32.0,62.0,82.0,0.23,0.06,0.28,0.23,0.28,0.14,0.11,0.25,0.14,0.25,10000000.0,10000000.0,0.0,0.0,1.0,0.0
760,1507.0,2002.0,1.0,0.0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,0.0,1.0,0.0,0.0
761,1512.0,1996.0,17.0,13.0,948.0,10.5,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,2.1,2.1,2.9,5.0,27.0,85.0,56.0,0.09,0.28,0.38,0.09,0.38,0.2,0.28,0.47,0.2,0.47,18000000.0,50000000.0,0.0,0.0,1.0,0.0
762,1513.0,1994.0,34.0,30.0,2752.0,30.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,42.0,152.0,34.0,0.03,0.03,0.07,0.03,0.07,0.02,0.03,0.05,0.02,0.05,38000000.0,38000000.0,1.0,0.0,0.0,0.0
763,1514.0,1998.0,29.0,26.0,2209.0,24.5,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,1.3,1.3,1.6,2.9,23.0,123.0,29.0,0.0,0.04,0.04,0.0,0.04,0.05,0.06,0.12,0.05,0.12,30000000.0,35000000.0,0.0,0.0,1.0,0.0
764,1520.0,1997.0,32.0,27.0,2428.0,27.0,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,3.4,3.4,3.3,6.6,21.0,112.0,104.0,0.04,0.15,0.19,0.04,0.19,0.13,0.12,0.25,0.13,0.25,22000000.0,22000000.0,0.0,1.0,0.0,0.0
765,1523.0,1995.0,28.0,25.0,1987.0,22.1,5.0,5.0,10.0,5.0,0.0,0.0,2.0,0.0,4.5,4.5,4.5,9.0,51.0,77.0,103.0,0.23,0.23,0.45,0.23,0.45,0.2,0.2,0.41,0.2,0.41,4000000.0,28000000.0,0.0,0.0,0.0,1.0
766,1528.0,1995.0,30.0,11.0,1120.0,12.4,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,1.2,2.2,14.0,85.0,39.0,0.08,0.16,0.24,0.08,0.24,0.08,0.1,0.18,0.08,0.18,4000000.0,12000000.0,0.0,0.0,1.0,0.0
767,1530.0,1986.0,28.0,28.0,2450.0,27.2,1.0,2.0,3.0,1.0,0.0,0.0,5.0,1.0,1.6,1.6,1.6,3.2,13.0,83.0,38.0,0.04,0.07,0.11,0.04,0.11,0.06,0.06,0.12,0.06,0.12,500000.0,900000.0,0.0,0.0,1.0,0.0
