Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW,market_value_in_eur
64.0,2002.0,15.0,10.0,797.0,8.9,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,1.6,1.6,0.5,2.1,0.09090909090909091,0.07508532423208192,0.09090909090909091,0.45,0.11,0.56,0.45,0.56,0.18,0.06,0.24,0.18,0.24,12000000.0,0.0,1.0,0.0,0.0,12000000.0
65.0,1991.0,28.0,20.0,1848.0,20.5,3.0,0.0,3.0,1.0,2.0,2.0,9.0,1.0,3.0,1.4,1.2,2.6,0.16083916083916083,0.310580204778157,0.061688311688311695,0.15,0.0,0.15,0.05,0.05,0.15,0.06,0.21,0.07,0.13,10000000.0,0.0,0.0,0.0,1.0,2000000.0
72.0,1999.0,23.0,11.0,1096.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.6,0.9,0.06993006993006994,0.13993174061433447,0.03571428571428572,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,1500000.0,0.0,0.0,0.0,1.0,1500000.0
77.0,1996.0,2.0,0.0,40.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034129692832764505,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,1.0,0.0,11000000.0
79.0,1994.0,30.0,25.0,2153.0,23.9,11.0,1.0,12.0,11.0,0.0,0.0,2.0,0.0,6.3,6.3,1.8,8.1,0.45454545454545453,0.3720136518771331,0.7207792207792209,0.46,0.04,0.5,0.46,0.5,0.27,0.07,0.34,0.27,0.34,35000000.0,0.0,0.0,1.0,0.0,35000000.0
85.0,2000.0,27.0,10.0,1161.0,12.9,8.0,0.0,8.0,7.0,1.0,1.0,0.0,0.0,6.2,5.5,1.5,6.9,0.22377622377622378,0.11604095563139932,0.262987012987013,0.62,0.0,0.62,0.54,0.54,0.48,0.11,0.6,0.42,0.54,50000000.0,1.0,0.0,0.0,0.0,50000000.0
89.0,1996.0,7.0,3.0,267.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,0.9,0.9,0.3,1.1,0.07692307692307693,0.034129692832764506,0.029220779220779224,0.67,0.34,1.01,0.67,1.01,0.29,0.09,0.38,0.29,0.38,7000000.0,0.0,0.0,0.0,1.0,4000000.0
97.0,1996.0,22.0,8.0,877.0,9.7,4.0,1.0,5.0,3.0,1.0,1.0,5.0,0.0,1.7,0.9,1.0,1.9,0.18181818181818182,0.17747440273037543,0.08441558441558442,0.41,0.1,0.51,0.31,0.41,0.17,0.1,0.28,0.09,0.2,22000000.0,0.0,0.0,1.0,0.0,6000000.0
102.0,2002.0,18.0,1.0,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.8,1.7,0.11888111888111888,0.04778156996587031,0.06818181818181819,0.0,0.0,0.0,0.0,0.0,0.37,0.31,0.68,0.37,0.68,3500000.0,0.0,0.0,1.0,0.0,3500000.0
103.0,1993.0,35.0,33.0,2792.0,31.0,9.0,2.0,11.0,9.0,0.0,0.0,2.0,0.0,6.0,6.0,4.7,10.7,0.5524475524475524,0.3720136518771331,0.6850649350649352,0.29,0.06,0.35,0.29,0.35,0.19,0.15,0.35,0.19,0.35,45000000.0,0.0,1.0,0.0,0.0,15000000.0
